Tweet ID,Timestamp,Customer_Message,Spotify Tweet ID,Spotify Timestamp,Brand Reply,True_Intent,Action,Reason for Action
946308,Wed Oct 11 07:20:58 +0000 2017,@SpotifyCares I need help please~ just sent a pm,946306,Wed Oct 11 07:28:14 +0000 2017,@344386 Hi! We've just replied to your DM. We'll carry on helping out there /AY,general_feedback_ui,Escalate,
184600,Mon Oct 16 16:36:06 +0000 2017,"Changed password, And it's still happening?? Help please! This is driving me nuts! https://t.co/NfYGNifuKc",184599,Mon Oct 16 18:57:45 +0000 2017,"@159458 Hi Harriette, help's arrived! Can you DM us with your account's username and email address? We'll see what's going on /WW https://t.co/ldFdZRiNAt",account_access,Escalate,They are asking for a username/email via DM
189820,Sat Oct 07 15:35:52 +0000 2017,@SpotifyCares @160530 So i already have spotify student and a few nights a go i renewed my hulu account so how do i merge the two?,2055232,Sat Oct 07 19:04:26 +0000 2017,@607834 Hey! You'll need to cancel your subscription with Hulu to take advantage of this offer. You can contact them at https://t.co/YFbtrpDiqG /CO,billing_subscription,Auto,It's a standard Hulu subscription cancellation instruction
1546465,Sat Nov 04 00:18:34 +0000 2017,@SpotifyCares Why does sharing playlists on Android split the link text on SMS? It's not clickable,1546464,Sat Nov 04 01:37:01 +0000 2017,"@478872 Hey Gabriel! What Android and Spotify version are you using? Also, could you send us a screenshot with an example of how it's splitting? /BH",playlist_library_management,Auto,They are troubleshooting an Android app glitch
1280800,Thu Oct 26 16:34:12 +0000 2017,Hey @115888 will you be releasing an app for the Series 3 with LTE anytime soon? https://t.co/AV2BHa3uCS,1280799,Thu Oct 26 17:09:03 +0000 2017,"@419676 Hey Sean! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /GU",general_feedback_ui,Auto,
911252,Sat Oct 21 05:38:42 +0000 2017,"i humbly ask you, @115888, to consider supporting .gif covers.",911251,Sat Oct 21 06:55:04 +0000 2017,"@336432 Hey, this sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /NY",general_feedback_ui,Auto,
1569805,Sun Nov 05 23:08:12 +0000 2017,@SpotifyCares Any possibility of making a Japanese group under genres? That would be really awesome ;),1569807,Mon Nov 06 01:16:57 +0000 2017,@165733 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ,content_availability,Auto,
1853771,Thu Oct 19 12:17:17 +0000 2017,"@SpotifyCares it's only doing it now if i have another app open, 6s ios10 and most recent app update",1853774,Thu Oct 19 13:20:06 +0000 2017,@554685 2: logging out &gt; restarting your device by holding Home + Lock for 10 seconds &gt; logging back in. Keep us posted /AY,general_feedback_ui,Auto,
2355331,Mon Nov 13 18:01:28 +0000 2017,@SpotifyCares I upgraded to Premium for Family but it’s saying the address is wrong to add family members. I don’t think I ever got prompted to enter an address?,2355330,Mon Nov 13 18:58:43 +0000 2017,@573436 Hi! We've replied to your DM. We'll carry on helping there 🙂 /BX,billing_subscription,Escalate,
1105787,Mon Oct 23 23:58:41 +0000 2017,@151631 @380955 Why is not going?,1105786,Tue Oct 24 00:25:06 +0000 2017,"@380954 @151631 @380955 Hi, help's here! We've replied to your DM. Let's carry on chatting there /YM",general_feedback_ui,Escalate,
1130683,Tue Oct 24 07:51:08 +0000 2017,Can @115888 come to Nigeria . Am tired of Apple Music .,1130682,Tue Oct 24 11:54:11 +0000 2017,"@340091 Hi there! Hopefully we'll be there soon. If there's anything else, let us know /RS",general_feedback_ui,Auto,
